Company_name,Rating,Reviews,Industry_and_Location
Himalaya Wellness,4.0,(2.5k),Pharma | Bangalore / Bengaluru +237 other locations
Tractors and Farm Equipment,3.9,(2.5k),Industrial Machinery | Chennai +192 other locations
Physicswallah,3.6,(2.5k),EdTech | Noida +123 other locations
BT Group,3.8,(2.5k),Telecom | Gurgaon / Gurugram +23 other locations
Foxconn,3.8,(2.5k),Electronics Manufacturing | Chennai +61 other locations
Parle Agro,3.9,(2.5k),Beverage | Mumbai +255 other locations
IntouchCX,2.7,(2.5k),BPO | Hyderabad / Secunderabad +22 other locations
Northern Trust Operating Services,3.6,(2.5k),Financial Services | Bangalore / Bengaluru +27 other locations
JCB,3.9,(2.4k),Industrial Machinery | Pune +113 other locations
Photon Interactive,4.1,(2.4k),IT Services & Consulting | Chennai +18 other locations
Laurus Labs,4.3,(2.4k),Pharma | Visakhapatnam +33 other locations
Patanjali Ayurved,3.9,(2.4k),FMCG | Haridwar +301 other locations
McDonald's,3.8,(2.4k),Hospitality | New Delhi +149 other locations
Paras Hospital,4.1,(2.4k),Healthcare | Patna +62 other locations
Statestreet HCL Services,3.4,(2.4k),BPO | Chennai +18 other locations
Planet Spark,3.9,(2.4k),EdTech | Gurgaon / Gurugram +61 other locations
ICICI Securities,3.9,(2.4k),Financial Services | Mumbai +148 other locations
Canara HSBC Life Insurance,3.6,(2.4k),Insurance | Gurgaon / Gurugram +313 other locations
Emcure Pharmaceuticals,3.6,(2.4k),Pharma | Pune +115 other locations
Mahindra Holidays & Resorts,3.5,(2.4k),Hospitality | Mumbai +113 other locations
Mahindra Rural Housing Finance,4.0,(2.4k),NBFC | Mumbai +463 other locations
Biocon Limited,4.0,(2.4k),Biotechnology | Bangalore / Bengaluru +65 other locations
Datamatics Global Services,3.4,(2.4k),IT Services & Consulting | Mumbai +37 other locations
Intellect Design Arena,3.6,(2.4k),Software Product | Chennai +40 other locations
Hero FinCorp,3.9,(2.4k),NBFC | New Delhi +389 other locations
Axis Direct,3.6,(2.4k),Financial Services | Mumbai +270 other locations
Taj Hotels Resorts and Palaces,4.2,(2.4k),Hospitality | Mumbai +109 other locations
Capgemini Engineering,3.4,(2.3k),IT Services & Consulting | Bangalore / Bengaluru +27 other locations
Adani Group,3.8,(2.3k),Power | Ahmedabad +192 other locations
CorroHealth infotech,3.6,(2.3k),Analytics & KPO | Hyderabad / Secunderabad +35 other locations
Cholamandalam MS General Insurance,3.7,(2.3k),Insurance | Chennai +386 other locations
3i Infotech,3.4,(2.3k),IT Services & Consulting | Mumbai +128 other locations
Info Edge,3.9,(2.3k),Internet | Noida +69 other locations
Aditya Birla Group,4.1,(2.3k),Metals & Mining | Mumbai +266 other locations
Cadila Pharmaceuticals,3.3,(2.3k),Pharma | Ahmedabad +133 other locations
Syngene International,3.8,(2.3k),Clinical Research | Bangalore / Bengaluru +21 other locations
KocharTech,3.6,(2.3k),IT Services & Consulting | Kolkata +25 other locations
Bureau Veritas,3.8,(2.3k),Other | Mumbai +145 other locations
Cybage,3.8,(2.3k),IT Services & Consulting | Pune +15 other locations
Delhi Public School,3.8,(2.3k),Education & Training | New Delhi +273 other locations
Aavas Financiers,3.9,(2.3k),NBFC | Jaipur +292 other locations
Xoriant,4.1,(2.3k),IT Services & Consulting | Pune +23 other locations
Lifestyle,4.2,(2.3k),Retail | Bangalore / Bengaluru +129 other locations
RMSI,3.6,(2.3k),IT Services & Consulting | Hyderabad / Secunderabad +25 other locations
Akums Drugs & Pharmaceuticals Limited,4.2,(2.3k),Pharma | Haridwar +39 other locations
Straive,3.3,(2.3k),IT Services & Consulting | Chennai +31 other locations
Sopra Steria,3.9,(2.3k),IT Services & Consulting | Noida +20 other locations
Eureka Forbes,3.7,(2.3k),Consumer Electronics & Appliances | Mumbai +184 other locations
Kia India,4.0,(2.3k),Automobile | Anantapur +187 other locations
GVK Emergency Management and Research Institute,3.6,(2.3k),Non-Profit | Lucknow +212 other locations
TaskUs,3.1,(2.3k),BPO | Indore +35 other locations
Sobha,3.8,(2.2k),Real Estate | Bangalore / Bengaluru +37 other locations
Unacademy,2.9,(2.2k),EdTech | Bangalore / Bengaluru +72 other locations
Radisson Hotels,4.0,(2.2k),Hospitality | New Delhi +127 other locations
Apollo Pharmacy,3.7,(2.2k),Pharma | Hyderabad / Secunderabad +280 other locations
Myntra,3.9,(2.2k),Internet | Bangalore / Bengaluru +103 other locations
Lodha,4.1,(2.2k),Real Estate | Mumbai +30 other locations
Endurance Technologies Limited,3.9,(2.2k),Auto Components | Aurangabad +50 other locations
Team Computers,3.6,(2.2k),IT Services & Consulting | New Delhi +103 other locations
SBI Securities,3.6,(2.2k),Financial Services | Mumbai +314 other locations
Panasonic Life Solutions India,3.9,(2.2k),Consumer Electronics & Appliances | Haridwar +169 other locations
Lava International,3.9,(2.2k),Consumer Electronics & Appliances | Noida +222 other locations
TCE,3.8,(2.2k),Engineering & Construction | Mumbai +132 other locations
Adani Wilmar,4.0,(2.2k),FMCG | Ahmedabad +198 other locations
Whirlpool,4.0,(2.2k),Consumer Electronics & Appliances | Pune +176 other locations
Indian Railways,4.2,(2.2k),Railways | Kolkata +248 other locations
Bharti AXA Life Insurance,3.6,(2.2k),Insurance | Mumbai +243 other locations
Star Union Dai-ichi Life Insurance,3.8,(2.2k),Insurance | Mumbai +314 other locations
GlaxoSmithKline Pharmaceuticals,4.0,(2.2k),Pharma | Bangalore / Bengaluru +217 other locations
Cisco,4.1,(2.2k),Hardware & Networking | Bangalore / Bengaluru +46 other locations
Daikin Airconditioning India Pvt. Ltd.,4.1,(2.2k),Consumer Electronics & Appliances | Neemrana +107 other locations
SBI General Insurance,3.6,(2.2k),Insurance | Mumbai +286 other locations
Nokia Networks,4.1,(2.1k),Hardware & Networking | Chennai +87 other locations
Coromandel International,4.1,(2.1k),Agro Chemicals | Visakhapatnam +182 other locations
Renault Nissan Technology & Business Centre India,3.8,(2.1k),Automobile | Chennai +18 other locations
Ambuja Cements,3.8,(2.1k),Building Material | Mumbai +257 other locations
Shahi Exports,3.9,(2.1k),Fashion & Textile | Bangalore / Bengaluru +70 other locations
BNP Paribas,3.7,(2.1k),Banking | Mumbai +27 other locations
Meesho,3.7,(2.1k),Internet | Bangalore / Bengaluru +131 other locations
Sify Technologies,3.7,(2.1k),IT Services & Consulting | Chennai +132 other locations
Newgen Software Technologies,4.0,(2.1k),IT Services & Consulting | Noida +32 other locations
Allstate,3.6,(2.1k),Insurance | Pune +15 other locations
ValueLabs,3.5,(2.1k),IT Services & Consulting | Hyderabad / Secunderabad +20 other locations
GAO Tek,4.5,(2.1k),Electrical Equipment | New York +41 other locations
Huawei Technologies,4.0,(2.1k),Telecom | Bangalore / Bengaluru +105 other locations
Bank of Baroda,3.5,(2.1k),Banking | Mumbai +299 other locations
Microsoft Corporation,3.8,(2.1k),Software Product | Bangalore / Bengaluru +47 other locations
Life Insurance Corporation of India,4.4,(2.1k),Insurance | New Delhi +470 other locations
Brakes India,3.9,(2.1k),Auto Components | Chennai +100 other locations
Simplex Infrastructures,3.4,(2.1k),Engineering & Construction | Kolkata +138 other locations
Cargill,3.9,(2.1k),Food Processing | Bangalore / Bengaluru +120 other locations
BHEL,4.2,(2.1k),Electrical Equipment | Bangalore / Bengaluru +128 other locations
CAMS,3.6,(2.1k),Financial Services | Chennai +107 other locations
Spark Minda,3.8,(2.1k),Auto Components | Pune +75 other locations
Generali Central Life Insurance,3.5,(2.1k),Insurance | Mumbai +199 other locations
Pfizer,3.9,(2.1k),Pharma | Visakhapatnam +132 other locations
Poonawalla Fincorp,3.6,(2.1k),NBFC | Pune +263 other locations
upGrad,3.4,(2.1k),EdTech | Bangalore / Bengaluru +49 other locations
Power Mech Projects,3.8,(2.1k),Engineering & Construction | Hyderabad / Secunderabad +150 other locations
FirstCry,3.6,(2.1k),Retail | Pune +212 other locations
Ola Cabs,3.3,(2k),Internet | Bangalore / Bengaluru +112 other locations
Force Motors,3.7,(2.1k),Automobile | Pune +107 other locations
Mercedes-Benz Research and Development India,3.6,(2.1k),IT Services & Consulting | Bangalore / Bengaluru +52 other locations
"Maruti Suzuki India Limited, Hansalpur",4.2,(2.1k),Automobile | Ahmedabad +103 other locations
NTT DATA Business Solutions,4.1,(2.1k),IT Services & Consulting | Bangalore / Bengaluru +32 other locations
Bharat Petroleum,4.2,(2.1k),Oil & Gas | Mumbai +259 other locations
Saint-Gobain,3.9,(2k),Building Material | Mumbai +103 other locations
Nuvoco Vistas,4.1,(2k),Building Material | Kolkata +196 other locations
Raymond Lifestyle Limited,4.1,(2k),Fashion & Textile | Mumbai +149 other locations
Reliance Trends,4.1,(2k),Retail | Bangalore / Bengaluru +391 other locations
Jio Platforms,3.4,(2k),IT Services & Consulting | Mumbai +103 other locations
Kotak Securities,3.4,(2k),Financial Services | Mumbai +138 other locations
Renault-Nissan,4.1,(2k),Automobile | Chennai +86 other locations
Manipal Hospitals,4.1,(2k),Healthcare | Bangalore / Bengaluru +66 other locations
ITC Hotels,4.1,(2k),Hospitality | New Delhi +94 other locations
Reliance General Insurance,3.6,(2k),Insurance | Mumbai +193 other locations
Extramarks Education,3.4,(2k),EdTech | Noida +111 other locations
Delphi TVS,3.9,(2k),Auto Components | Chennai +60 other locations
CitiusTech,3.2,(2k),IT Services & Consulting | Mumbai +16 other locations
JK Tyre,3.6,(2k),Auto Components | Chennai +141 other locations
Henry Harvin Education,3.6,(2k),EdTech | Noida +33 other locations
Biological E,4.2,(2k),Pharma | Hyderabad / Secunderabad +71 other locations
Morgan Stanley,3.6,(2k),Financial Services | Mumbai +19 other locations
Infinite Computer Solutions,3.3,(2k),IT Services & Consulting | Bangalore / Bengaluru +36 other locations
SGS,3.8,(2k),"Testing, Inspection and Certification (TIC) | Mumbai +145 other locations"
State Street Syntel,3.7,(2k),Financial Services | Mumbai +21 other locations
YASH Technologies,3.7,(2k),IT Services & Consulting | Hyderabad / Secunderabad +31 other locations
Senco Gold,4.4,(2k),Jewellery | Kolkata +78 other locations
Ninjacart,3.8,(2k),Internet | Bangalore / Bengaluru +111 other locations
Novartis,4.1,(2k),Pharma | Hyderabad / Secunderabad +75 other locations
EPAM Systems,3.7,(2k),IT Services & Consulting | Hyderabad / Secunderabad +35 other locations
HSBC Electronic Data Processing,4.0,(1.9k),IT Services & Consulting | Bangalore / Bengaluru +19 other locations
SAP,4.1,(1.9k),Software Product | Bangalore / Bengaluru +53 other locations
Valeo,3.9,(1.9k),Auto Components | Chennai +171 other locations
L&T Energy Hydrocarbon,3.8,(1.9k),Engineering & Construction | Vadodara +88 other locations
IDBI Bank,3.4,(1.9k),Banking | Mumbai +330 other locations
K12 Techno Services,3.6,(1.9k),EdTech | Bangalore / Bengaluru +43 other locations
AECOM,4.2,(1.9k),Engineering & Construction | Gurgaon / Gurugram +122 other locations
Narayana Health,3.9,(1.9k),Healthcare | Bangalore / Bengaluru +64 other locations
Paisabazaar.com,3.4,(1.9k),Internet | Gurgaon / Gurugram +35 other locations
Aditya Birla Health Insurance Co,3.7,(1.9k),Insurance | Mumbai +250 other locations
Honeywell Automation,3.7,(1.9k),Industrial Automation | Pune +78 other locations
Schindler,3.9,(1.9k),Industrial Machinery | Pune +88 other locations
R.R. Donnelley,3.7,(1.9k),Marketing & Advertising | Chennai +27 other locations
Shadowfax Technologies,3.5,(1.9k),Logistics | Bangalore / Bengaluru +239 other locations
Uflex,3.8,(1.9k),Packaging | Noida +47 other locations
Motherson Automotive Technologies and Engineering,3.8,(1.9k),Auto Components | Chennai +67 other locations
Trent,3.8,(1.9k),Retail | Mumbai +143 other locations
Philips,3.8,(1.9k),Medical Equipment | Bangalore / Bengaluru +96 other locations
V-Guard Industries,4.3,(1.9k),Consumer Electronics & Appliances | Kochi +169 other locations
Dr Lal PathLabs,4.2,(1.9k),Healthcare | New Delhi +201 other locations
Gabriel India Limited,4.1,(1.9k),Auto Components | Pune +51 other locations
Microland,3.5,(1.9k),IT Services & Consulting | Bangalore / Bengaluru +46 other locations
NCR Corporation,3.5,(1.9k),IT Services & Consulting | Hyderabad / Secunderabad +90 other locations
Haier Appliances India,3.9,(1.9k),Consumer Electronics & Appliances | Pune +156 other locations
Parle Products,3.9,(1.9k),FMCG | Mumbai +244 other locations
Tekwissen,4.9,(1.9k),IT Services & Consulting | Visakhapatnam +5 other locations
Google,4.4,(1.9k),Software Product | Bangalore / Bengaluru +85 other locations
CMS Infosystems,3.5,(1.9k),Software Product | Mumbai +216 other locations
Crisil,3.5,(1.9k),Analytics & KPO | Mumbai +80 other locations
Spinny,3.7,(1.9k),Internet | Gurgaon / Gurugram +62 other locations
Lucas-TVS,3.9,(1.9k),Auto Components | Chennai +76 other locations
Angel One,3.6,(1.9k),FinTech | Mumbai +132 other locations
Globiva,3.0,(1.9k),BPO | Gurgaon / Gurugram +28 other locations
Adecco Group,3.8,(1.9k),Recruitment | Bangalore / Bengaluru +180 other locations
Safexpress,3.9,(1.9k),Logistics | New Delhi +158 other locations
CNH (Case New Holland),3.7,(1.9k),Industrial Machinery | Gurgaon / Gurugram +136 other locations
Tata Tele Business Services,3.6,(1.9k),Telecom | Mumbai +135 other locations
DHL Supply Chain,4.2,(1.9k),Logistics | Mumbai +101 other locations
G R Infraprojects,4.1,(1.9k),Engineering & Construction | Gurgaon / Gurugram +155 other locations
Iris Software,3.8,(1.9k),IT Services & Consulting | Noida +24 other locations
Aadhar Housing Finance,4.1,(1.9k),NBFC | Mumbai +324 other locations
NTPC,4.2,(1.9k),Power | New Delhi +121 other locations
Aye Finance,4.1,(1.9k),NBFC | Gurgaon / Gurugram +362 other locations
Thomson Reuters,3.8,(1.9k),Software Product | Bangalore / Bengaluru +26 other locations
Tata Power,3.9,(1.8k),Power | Mumbai +150 other locations
HTC Global Services,3.4,(1.8k),IT Services & Consulting | Chennai +32 other locations
Infinx,3.8,(1.8k),Software Product | Hyderabad / Secunderabad +36 other locations
Trident Group,3.3,(1.8k),Fashion & Textile | Barnala +58 other locations
Hindustan Aeronautics,4.3,(1.8k),Defence & Aerospace | Bangalore / Bengaluru +64 other locations
TVS Sundram Fasteners,3.6,(1.8k),Auto Components | Chennai +66 other locations
ICICI Home Finance,3.7,(1.8k),Financial Services | Mumbai +218 other locations
Torrent Power,3.8,(1.8k),Power | Ahmedabad +61 other locations
KENT RO Systems,3.8,(1.8k),Consumer Electronics & Appliances | Noida +152 other locations
PI Industries,3.8,(1.8k),Agro Chemicals | Vadodara +105 other locations
Jindal Saw,4.0,(1.8k),Iron & Steel | Mundra +76 other locations
First American (India),3.6,(1.8k),Insurance | Bangalore / Bengaluru +22 other locations
Aragen Life Sciences,3.9,(1.8k),Clinical Research | Hyderabad / Secunderabad +31 other locations
NeoSOFT,3.4,(1.8k),IT Services & Consulting | Mumbai +24 other locations
Medi Assist India,3.5,(1.8k),Insurance | Bangalore / Bengaluru +66 other locations
CSB Bank,3.2,(1.8k),Banking | Mumbai +232 other locations
Honda Cars,4.3,(1.8k),Automobile | Bhiwadi +117 other locations
Polycab Wires,3.9,(1.8k),Electrical Equipment | Vadodara +167 other locations
Fusion CX,3.3,(1.8k),BPO | Kolkata +57 other locations
AXA Business Services,3.8,(1.8k),IT Services & Consulting | Pune +11 other locations
AkzoNobel,4.1,(1.8k),Chemicals | Pune +160 other locations
Sterling & Wilson,4.0,(1.8k),Engineering & Construction | Mumbai +129 other locations
Verizon,3.6,(1.8k),Telecom | Hyderabad / Secunderabad +11 other locations
Infra.Market,4.0,(1.8k),Building Material | Mumbai +128 other locations
Stellar Migration,1.3,(1.8k),Other | Dubai +7 other locations
Capri Global Capital,3.6,(1.8k),NBFC | New Delhi +326 other locations
Innovsource Services,3.9,(1.8k),Recruitment | Mumbai +247 other locations
TELUS Digital,3.6,(1.8k),IT Services & Consulting | Noida +25 other locations
Godrej Properties,3.6,(1.8k),Real Estate | Mumbai +34 other locations
MetLife,4.1,(1.7k),Insurance | Noida +44 other locations
Cafe Coffee Day,3.7,(1.8k),Hospitality | Bangalore / Bengaluru +104 other locations
Kalyan Jewellers,4.4,(1.7k),Jewellery | Thrissur +155 other locations
SS&C TECHNOLOGIES,3.3,(1.7k),IT Services & Consulting | Mumbai +30 other locations
Dhani Loans and Services,3.9,(1.7k),NBFC | Gurgaon / Gurugram +187 other locations
DIVI'S Laboratories,3.6,(1.7k),Pharma | Visakhapatnam +36 other locations
Haldiram Foods International Limited,3.8,(1.7k),FMCG | Nagpur +164 other locations
Future Retail,4.4,(1.7k),Retail | Mumbai +197 other locations
Hindustan Petroleum,4.2,(1.7k),Oil & Gas | Mumbai +252 other locations
Tata Communications Transformation Services,3.8,(1.7k),Telecom | Pune +95 other locations
USHA International,4.1,(1.7k),Consumer Electronics & Appliances | Gurgaon / Gurugram +147 other locations
Digit Insurance,3.8,(1.7k),Insurance | Bangalore / Bengaluru +87 other locations
Reckitt Benckiser,4.0,(1.7k),FMCG | Gurgaon / Gurugram +136 other locations
Security and Intelligence Services (India),4.0,(1.7k),Law Enforcement & Security | New Delhi +196 other locations
USV,4.0,(1.7k),Pharma | Mumbai +107 other locations
BT Business,3.9,(1.7k),Telecom | Gurgaon / Gurugram +12 other locations
HDFC Securities,3.4,(1.7k),Financial Services | Mumbai +185 other locations
Isgec Heavy Engineering,3.8,(1.7k),Engineering & Construction | Noida +91 other locations
Vedantu,3.3,(1.7k),EdTech | Bangalore / Bengaluru +71 other locations
Bata,3.5,(1.7k),Fashion & Textile | Gurgaon / Gurugram +146 other locations
Pine Labs,3.3,(1.7k),FinTech | Noida +118 other locations
LivSpace,3.3,(1.7k),Architecture & Interior Design | Bangalore / Bengaluru +53 other locations
Exela Technologies,3.2,(1.7k),BPO | Chennai +26 other locations
Air India,3.4,(1.7k),Aviation | New Delhi +64 other locations
Metro Cash & Carry,4.0,(1.7k),Retail | Bangalore / Bengaluru +88 other locations
NEC,4.0,(1.7k),IT Services & Consulting | Noida +54 other locations
Annapurna Finance,3.9,(1.7k),NBFC | Bhubaneswar +392 other locations
Adani Green Energy,3.9,(1.7k),Power | Ahmedabad +114 other locations
Indian Navy,4.6,(1.7k),Defence & Aerospace | Mumbai +75 other locations
Mother Dairy Fruit & Vegetable,4.0,(1.7k),Food Processing | New Delhi +127 other locations
BVG India,4.3,(1.7k),Facility Management Services | Pune +133 other locations
Granules India Limited,3.8,(1.7k),Pharma | Hyderabad / Secunderabad +22 other locations
Cavinkare,4.0,(1.7k),FMCG | Chennai +172 other locations
Sysnet Global Technologies,3.7,(1.7k),IT Services & Consulting | New Delhi +152 other locations
Provana,3.9,(1.7k),BPO | Noida +11 other locations
Orange Business,4.2,(1.6k),IT Services & Consulting | Gurgaon / Gurugram +52 other locations
Medanta the Medicity,4.0,(1.6k),Healthcare | Gurgaon / Gurugram +47 other locations
FactSet,3.7,(1.6k),Analytics & KPO | Hyderabad / Secunderabad +17 other locations
Caterpillar Inc,4.1,(1.6k),Industrial Machinery | Chennai +43 other locations
Hitachi Astemo,4.1,(1.6k),Auto Components | Neemrana +51 other locations
American Broadcasting Company,4.0,(1.6k),Engineering & Construction | Bangalore / Bengaluru +106 other locations
TTEC India,3.7,(1.6k),BPO | Ahmedabad +35 other locations
HighRadius,2.6,(1.6k),Software Product | Hyderabad / Secunderabad +15 other locations
Cushman & Wakefield,4.2,(1.6k),Real Estate | Gurgaon / Gurugram +44 other locations
Frankfinn Institute of Air Hostess Training,3.8,(1.6k),Education & Training | Gurgaon / Gurugram +61 other locations
Yamaha Motor,4.1,(1.6k),Automobile | Chennai +154 other locations
DHL Express,4.1,(1.6k),Logistics | Mumbai +91 other locations
KONE,4.1,(1.6k),Industrial Machinery | Chennai +72 other locations
JSW Bhushan Power & Steel,4.0,(1.6k),Iron & Steel | Jharsuguda +65 other locations
Rungta Mines,4.0,(1.6k),Metals & Mining | Chaibasa +56 other locations
Rane (Madras),3.9,(1.6k),Auto Components | Chennai +57 other locations
L.G.Balakrishnan & Bros,3.5,(1.6k),Auto Components | Coimbatore +61 other locations
BA Continuum,3.9,(1.6k),IT Services & Consulting | Hyderabad / Secunderabad +18 other locations
MagicBricks,4.0,(1.6k),Internet | Noida +34 other locations
Johnson & Johnson,4.0,(1.6k),Healthcare | Mumbai +170 other locations
Orchids International School,3.8,(1.6k),Education & Training | Bangalore / Bengaluru +33 other locations
Tata Play,4.0,(1.6k),Broadcasting | Mumbai +222 other locations
Procter & Gamble,4.0,(1.6k),FMCG | Mumbai +249 other locations
Wipro Enterprises Ltd,3.8,(1.6k),FMCG | Bangalore / Bengaluru +121 other locations
Compass Group Support Services,4.0,(1.6k),Facility Management Services | Bangalore / Bengaluru +76 other locations
Matrimony.com,4.0,(1.6k),Internet | Chennai +63 other locations
CG Power and Industrial Solutions,3.8,(1.6k),Electrical Equipment | Bhopal +91 other locations
Vardhman Fabrics,4.0,(1.6k),Fashion & Textile | Baddi +62 other locations
Hero Motors Company,3.9,(1.6k),Automobile | Ghaziabad +230 other locations
Chegg,4.1,(1.6k),EdTech | New Delhi +77 other locations
Arvind Group,4.0,(1.6k),Fashion & Textile | Ahmedabad +91 other locations
Patanjali Foods,3.8,(1.6k),FMCG | Haridwar +232 other locations
CMA CGM,3.9,(1.6k),Ports & Shipping | Chennai +37 other locations
Suryoday Small Finance Bank,4.0,(1.6k),Banking | Mumbai +230 other locations
Belrise Industries,3.7,(1.6k),Auto Components | Pune +58 other locations
Clover Infotech,3.4,(1.6k),IT Services & Consulting | Mumbai +22 other locations
IIFL SAMASTA,3.7,(1.6k),NBFC | Bangalore / Bengaluru +397 other locations
PharmEasy,3.7,(1.6k),Internet | Bangalore / Bengaluru +70 other locations
HERE Technologies,3.8,(1.6k),IT Services & Consulting | Mumbai +19 other locations
Krishna Maruti,3.8,(1.6k),Auto Components | Gurgaon / Gurugram +50 other locations
Marico,3.8,(1.6k),FMCG | Mumbai +182 other locations
Coronis Ajuba Solutions,3.9,(1.6k),BPO | Chennai +31 other locations
Honda,4.1,(1.6k),Automobile | Gurgaon / Gurugram +227 other locations
Welspun Living Limited,3.9,(1.6k),Fashion & Textile | Anjar +86 other locations
Wockhardt,3.8,(1.6k),Pharma | Aurangabad +83 other locations
ReNew,4.2,(1.6k),Power | Gurgaon / Gurugram +105 other locations
Tata 1mg,3.6,(1.6k),Internet | Gurgaon / Gurugram +63 other locations
Emami,3.8,(1.6k),FMCG | Kolkata +174 other locations
Toyota Kirloskar Motor,4.3,(1.6k),Automobile | Bangalore / Bengaluru +90 other locations
Satin Creditcare Network,3.9,(1.6k),NBFC | Gurgaon / Gurugram +323 other locations
Godrej Industries Group,3.9,(1.5k),Real Estate | Mumbai +148 other locations
Goldman Sachs,3.3,(1.5k),Financial Services | Bangalore / Bengaluru +22 other locations
ZF Commercial Vehicle Control Systems,3.9,(1.5k),Auto Components | Chennai +48 other locations
Teva Pharmaceuticals,3.9,(1.5k),Pharma | Bangalore / Bengaluru +52 other locations
Dixon Technologies,3.9,(1.5k),Electronics Manufacturing | Noida +46 other locations
Veritas Finance,4.4,(1.5k),NBFC | Chennai +298 other locations
Shriram Life Insurance,3.5,(1.5k),Insurance | Hyderabad / Secunderabad +323 other locations
NielsenIQ,3.5,(1.5k),Analytics & KPO | Chennai +54 other locations
iOPEX Technologies,3.2,(1.5k),IT Services & Consulting | Chennai +16 other locations
Supreme Industries,4.1,(1.5k),Petrochemicals | Gwalior +121 other locations
KFC,4.0,(1.5k),Hospitality | New Delhi +172 other locations
Mercer,3.6,(1.5k),Management Consulting | New Delhi +17 other locations
Cemindia Projects,4.2,(1.5k),Engineering & Construction | Mumbai +87 other locations
Sanofi,4.0,(1.5k),Pharma | Hyderabad / Secunderabad +91 other locations
Relaxo Footwear,4.0,(1.5k),Fashion & Textile | New Delhi +158 other locations
Dainik Bhaskar Group,4.2,(1.5k),Printing & Publishing | Bhopal +138 other locations
Dainik Bhaskar Group,4.2,(1.5k),Printing & Publishing | Bhopal +137 other locations
Marriott International,4.1,(1.5k),Hospitality | Bangalore / Bengaluru +90 other locations
Asahi India Glass,3.8,(1.5k),Auto Components | Chennai +87 other locations
IFB,3.6,(1.5k),Consumer Electronics & Appliances | Bangalore / Bengaluru +177 other locations
Broadridge Financial Solutions,3.8,(1.5k),FinTech | Hyderabad / Secunderabad +14 other locations
Amul India,4.0,(1.5k),Food Processing | Ahmedabad +205 other locations
HCL Infosystems,4.0,(1.5k),IT Services & Consulting | Noida +104 other locations
IndiaFirst Life Insurance,3.8,(1.5k),Insurance | Mumbai +243 other locations
Suguna Foods,4.0,(1.5k),Food Processing | Coimbatore +202 other locations
Urban Company,3.3,(1.5k),Internet | Gurgaon / Gurugram +59 other locations
Nayara Energy,4.2,(1.5k),Oil & Gas | Jamnagar +96 other locations
Gujarat Fluorochemicals,3.9,(1.5k),Chemicals | Bharuch +32 other locations
Tesco,3.6,(1.5k),Retail | Bangalore / Bengaluru +17 other locations
Muthoot Microfin,4.2,(1.5k),NBFC | Kochi +406 other locations
Kotak Mahindra Prime,3.9,(1.5k),NBFC | Mumbai +171 other locations
Oracle Cerner,3.4,(1.5k),Software Product | Bangalore / Bengaluru +7 other locations
Hinduja Leyland Finance,4.0,(1.5k),NBFC | Chennai +298 other locations
Bisleri,4.2,(1.5k),Beverage | Mumbai +177 other locations
Patra India,3.6,(1.5k),BPO | Visakhapatnam +27 other locations
Lumax Industries,3.9,(1.5k),Auto Components | Gurgaon / Gurugram +41 other locations
Steel Strips Wheels,3.7,(1.5k),Auto Components | Chennai +51 other locations
Evalueserve,3.1,(1.5k),Analytics & KPO | Gurgaon / Gurugram +15 other locations
XL Dynamics,3.4,(1.5k),IT Services & Consulting | Mumbai +32 other locations
Max Fashion,4.0,(1.5k),Retail | Bangalore / Bengaluru +151 other locations
SHYAM METALICS AND ENERGY,3.4,(1.5k),Metals & Mining | Sambalpur +75 other locations
Ashoka Buildcon,4.1,(1.5k),Engineering & Construction | Nashik +155 other locations
Karur Vysya Bank,3.5,(1.5k),Banking | Chennai +189 other locations
GMR Group,4.0,(1.5k),Engineering & Construction | New Delhi +72 other locations
Piramal Pharma,4.0,(1.5k),Pharma | Mumbai +83 other locations
GE VERNOVA,4.1,(1.5k),Power | Bangalore / Bengaluru +83 other locations
Canara Bank,3.5,(1.4k),Banking | Bangalore / Bengaluru +216 other locations
SAI Life Sciences,3.9,(1.4k),Clinical Research | Hyderabad / Secunderabad +26 other locations
Taurus BPO Services,4.1,(1.4k),BPO | Pune +23 other locations
Honeywell Technology Solutions,3.7,(1.4k),Industrial Automation | Bangalore / Bengaluru +18 other locations
QualityKiosk Technologies,3.3,(1.4k),IT Services & Consulting | Mumbai +20 other locations
Page Industries,4.1,(1.4k),Fashion & Textile | Bangalore / Bengaluru +163 other locations
Tata Consumer Products,3.5,(1.4k),FMCG | Bangalore / Bengaluru +220 other locations
Tanishq,4.2,(1.4k),Jewellery | Kolkata +234 other locations
Tata Group,4.2,(1.4k),IT Services & Consulting | Mumbai +171 other locations
Gland Pharma,4.0,(1.4k),Pharma | Hyderabad / Secunderabad +35 other locations
ISS Facility Services,4.0,(1.4k),Facility Management Services | Mumbai +66 other locations
Oberoi Group of Hotels,4.1,(1.4k),Hospitality | New Delhi +38 other locations
Wheelseye Technology,3.4,(1.4k),Internet | Gurgaon / Gurugram +223 other locations
Aon,3.8,(1.4k),Management Consulting | Gurgaon / Gurugram +24 other locations
Tata AutoComp Systems,3.8,(1.4k),Auto Components | Pune +43 other locations
Indoco Remedies,3.4,(1.4k),Pharma | Mumbai +84 other locations
Devyani International,3.8,(1.4k),Hospitality | New Delhi +136 other locations
Daimler India Commercial Vehicles,3.9,(1.4k),Automobile | Chennai +48 other locations
Sonata Software,3.4,(1.4k),IT Services & Consulting | Bangalore / Bengaluru +16 other locations
