Company_name,Rating,Reviews,Industry_and_Location
Sun Pharmaceutical Industries,4.1,(7.4k),Pharma | Vadodara +263 other locations
Ujjivan Small Finance Bank,4.0,(7.4k),Banking | Bangalore / Bengaluru +533 other locations
Amazon Development Centre India,3.8,(7.4k),Internet | Hyderabad / Secunderabad +146 other locations
Lupin,4.1,(7.2k),Pharma | Pune +203 other locations
L&T Construction,4.0,(7.2k),Engineering & Construction | Chennai +432 other locations
Ekart Logistics,3.9,(7.2k),Logistics | Bangalore / Bengaluru +741 other locations
Zydus Lifesciences,3.9,(7.2k),Pharma | Ahmedabad +177 other locations
Hindustan Unilever,4.2,(7.1k),FMCG | Mumbai +536 other locations
KPMG India,3.4,(7k),Management Consulting | Bangalore / Bengaluru +112 other locations
ITC,3.9,(7k),FMCG | Bangalore / Bengaluru +377 other locations
Axis Max Life Insurance,4.0,(7k),Insurance | New Delhi +498 other locations
Megha Engineering & Infrastructures,3.9,(6.8k),Engineering & Construction | Hyderabad / Secunderabad +406 other locations
Tata Projects,4.2,(6.7k),Engineering & Construction | Mumbai +286 other locations
Coforge,3.3,(6.6k),IT Services & Consulting | Noida +103 other locations
Bajaj Life Insurance,3.8,(6.4k),Insurance | Pune +610 other locations
FIS,3.8,(6.4k),FinTech | Pune +60 other locations
L&T Technology Services,3.1,(6.4k),IT Services & Consulting | Bangalore / Bengaluru +93 other locations
Cholamandalam Investment & Finance,3.8,(6.4k),Financial Services | Chennai +844 other locations
Oracle,3.5,(6.2k),Software Product | Bangalore / Bengaluru +56 other locations
IIFL Finance,4.0,(6.2k),NBFC | Mumbai +801 other locations
Muthoot Finance,3.7,(6.2k),NBFC | Bangalore / Bengaluru +785 other locations
Indian Army,4.7,(6.2k),Defence & Aerospace | New Delhi +363 other locations
Omega Healthcare,3.8,(6.2k),BPO | Chennai +69 other locations
JLL,4.1,(6.2k),Real Estate | Gurgaon / Gurugram +84 other locations
eClerx,3.1,(6.1k),IT Services & Consulting | Pune +32 other locations
HCL Group,3.5,(6.1k),IT Services & Consulting | Chennai +97 other locations
Piramal Finance,4.2,(6k),NBFC | Mumbai +423 other locations
Virtusa Consulting Services,3.7,(5.9k),IT Services & Consulting | Hyderabad / Secunderabad +55 other locations
